angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio_11,label
169.74263,159.3718,54.68258,60.38438,166.2925,175.52959,156.41182,156.63226,1.0273339,0.7560839,0.5116749,0.38887107,0.09486039,0.13974723,0.6025165,0.94288164,0.54505724,0.88374305,0.31629348,0.26138803,correct
170.2218,157.0887,54.421837,60.596897,167.4042,174.63618,157.22044,157.57771,1.0263891,0.7588359,0.5272179,0.37636194,0.08561898,0.116567135,0.5857081,0.93541,0.548727,0.89156127,0.2990784,0.25661498,correct
169.22247,160.9276,53.97487,59.60981,166.8936,177.18672,157.3981,158.49272,1.0208735,0.75794023,0.53177094,0.36992973,0.096224405,0.13898732,0.58060676,0.9382292,0.539393,0.8724785,0.3040912,0.2581061,correct
169.07466,159.98154,54.542698,61.15581,166.18074,175.20232,157.04857,158.0467,1.0100366,0.7491117,0.5314892,0.36642054,0.10024115,0.12633915,0.56456465,0.9533059,0.53962356,0.8779712,0.32013357,0.26956838,correct
171.95683,153.95749,54.27894,61.323902,169.11292,179.68408,156.28339,157.27533,1.021732,0.7329603,0.497105,0.31886113,0.088790804,0.14129181,0.58411425,0.89876294,0.5588156,0.8738469,0.31512332,0.25987616,correct
171.18834,153.97714,54.218914,60.90011,167.20381,179.03712,154.51195,157.84993,1.0214114,0.74679303,0.49002013,0.3218836,0.07106872,0.15620477,0.5877219,0.895807,0.5589942,0.87438494,0.30863416,0.26366818,correct
171.5432,156.28217,53.87202,62.62691,170.5503,179.04283,157.81902,157.09796,1.0361475,0.73221767,0.48776254,0.31196755,0.08558652,0.1310845,0.58398217,0.9009615,0.56527406,0.87078834,0.3226785,0.26380968,correct
170.67505,151.50197,54.00623,59.951046,169.95999,178.6638,157.45016,155.46327,1.0160103,0.71681947,0.50260776,0.30888277,0.10272643,0.13683344,0.56942296,0.8883602,0.5469243,0.86543345,0.31086844,0.24654645,correct
173.45755,153.54349,55.240383,61.1376,168.71121,179.23972,156.916,156.86891,1.0217813,0.7460335,0.48962343,0.31985557,0.100493416,0.14694005,0.59546715,0.9134469,0.58102417,0.8772368,0.3209198,0.24996851,correct
172.49182,166.84668,56.241802,59.44885,162.87622,174.21452,152.06877,152.8092,0.9945342,0.7656772,0.5599896,0.4591447,0.05619426,0.1467265,0.6053199,0.8892486,0.5685517,0.8703609,0.3290563,0.2971445,correct
171.93544,165.1716,56.508602,58.645626,161.94785,172.22017,151.14412,151.40286,0.98040617,0.7621732,0.54955244,0.45386454,0.062309843,0.13801754,0.60529983,0.8651645,0.5543605,0.87848157,0.31874758,0.2873109,correct
171.9303,164.56593,55.63284,58.901356,163.17354,174.82765,152.0211,154.30482,0.99352044,0.7812561,0.5640642,0.46154794,0.057844646,0.13866626,0.5978624,0.8872804,0.5714878,0.8688872,0.3327269,0.29379117,correct
173.2248,166.19307,56.214703,59.10874,163.15074,173.66313,151.62985,151.79472,0.98735315,0.76544845,0.565044,0.46471,0.0694373,0.14426874,0.60217756,0.90684223,0.57077086,0.87492687,0.3347357,0.29622316,correct
172.01204,165.63612,55.89685,58.38681,162.08513,174.60725,150.64601,153.08676,0.9990824,0.76380765,0.5572495,0.44805562,0.06241226,0.15133739,0.6009994,0.8845186,0.5550203,0.87531257,0.3242049,0.28190893,correct
171.70515,174.91183,63.567554,54.956093,159.05266,177.29823,163.60901,166.89139,1.0632429,0.96008044,0.82009506,0.8769111,0.08911215,0.1812572,0.7609334,1.1185308,0.6948692,1.1394453,0.35958803,0.27050188,correct
170.6241,175.62654,63.349846,55.544548,158.01878,176.88107,161.90851,167.60574,1.0662018,0.96271336,0.80810565,0.8743146,0.09956538,0.18074799,0.75463235,1.1149075,0.685985,1.1425807,0.36334497,0.26378396,correct
171.53368,174.50897,62.68285,54.35656,160.01102,177.79556,164.13448,167.22643,1.0699571,0.9694164,0.83612555,0.86180663,0.08847797,0.17560211,0.7646544,1.1208607,0.69238216,1.1509936,0.3587555,0.2706348,correct
169.67511,172.60991,62.213436,54.11583,159.77577,176.5688,163.00168,166.68343,1.0615886,0.95206094,0.81023985,0.8714678,0.08433074,0.16650568,0.76531863,1.1064197,0.6755001,1.1486064,0.33805993,0.25380605,correct
171.10327,173.83694,62.809254,54.94402,160.10608,176.67345,164.34601,166.4396,1.0643265,0.95333993,0.8075123,0.88542205,0.08882016,0.16918543,0.7618907,1.1370276,0.70144665,1.1431402,0.36410448,0.27532476,correct
172.78706,160.79553,58.095207,62.894993,157.99292,168.7351,147.9495,147.98442,0.9938776,0.7772767,0.53487015,0.39664525,0.0597345,0.1532688,0.6407282,0.901473,0.60278916,0.87799096,0.35913596,0.3144581,correct
174.43578,160.76161,58.596386,63.819065,157.96402,168.83842,147.28618,149.33208,0.99295104,0.7832615,0.5426779,0.39553303,0.054764852,0.15273097,0.64612454,0.9131332,0.5956477,0.87912166,0.3646685,0.32238138,correct
171.31151,162.60902,57.640667,63.694695,156.37611,169.3809,146.01593,148.61395,0.98869795,0.7865897,0.5306251,0.39578116,0.04491437,0.1595098,0.6351397,0.8962557,0.5944307,0.888895,0.35721534,0.32073826,correct
170.76526,160.03166,57.664948,61.962975,157.65858,169.68661,148.68446,149.2131,0.99367774,0.7903222,0.522087,0.39825448,0.063302405,0.17040575,0.649005,0.8914443,0.5996452,0.8691826,0.35222486,0.29745948,correct
173.94241,159.8253,58.254265,62.7867,158.45691,167.32297,147.97075,146.73201,1.0104889,0.78238964,0.5442828,0.39237142,0.062430926,0.15252821,0.65295994,0.9080811,0.6108851,0.88348716,0.36467847,0.3132416,correct
173.48795,174.03986,55.43287,52.499836,164.55165,177.25703,148.28767,150.15749,0.97625273,0.7789395,0.7493626,0.69336545,0.05761422,0.16858454,0.66089666,0.7956613,0.62204945,0.81303746,0.36742476,0.31895673,correct
173.99382,173.39113,54.93736,52.909065,166.81203,175.84215,149.09521,149.25768,0.9752431,0.79130995,0.7449185,0.6982929,0.07255191,0.16000171,0.66693807,0.7955591,0.6205244,0.816086,0.37288773,0.30880886,correct
174.97452,175.28574,55.756065,52.905926,164.47337,177.62842,148.49825,151.36871,0.9784193,0.7701153,0.7545011,0.690348,0.061264705,0.17308177,0.66854006,0.7900023,0.615044,0.80255485,0.3658332,0.31880012,correct
174.25287,174.00598,54.96983,52.582085,165.66196,176.81265,149.17754,150.17117,0.97458416,0.77570486,0.7415636,0.6919088,0.072023034,0.16791844,0.66162455,0.7856654,0.61666435,0.81691396,0.3710212,0.31150773,correct
173.15549,172.35489,54.85323,51.757763,164.74806,178.54854,148.75095,151.1,0.97976744,0.7849882,0.7536569,0.70018446,0.04998715,0.16259766,0.66745067,0.78872436,0.6312011,0.8038797,0.37196487,0.33227766,correct
165.81816,171.2963,59.60903,53.98248,159.74779,173.3424,152.73055,156.29466,0.9190451,0.83595765,0.7801018,0.6970095,0.12764731,0.22474504,0.8943158,0.97380716,0.89908326,0.9858688,0.4293419,0.31207728,correct
166.08751,168.68117,58.94196,53.117245,160.92288,173.16809,152.72379,156.45116,0.92385167,0.8428341,0.77295136,0.69543976,0.14044818,0.2172774,0.8879533,0.98098487,0.90832156,0.96503764,0.43441662,0.30671847,correct
165.13606,172.25594,59.259804,55.10806,160.43053,172.57309,153.09325,155.65654,0.9218589,0.85147446,0.7646017,0.7036947,0.12457636,0.21283165,0.9015147,0.980685,0.9136724,0.99150187,0.42422923,0.31573874,correct
165.61783,173.05373,60.249073,54.498966,159.55022,172.86342,152.6792,155.4037,0.90995413,0.81454724,0.7752866,0.6917549,0.12925416,0.22716138,0.8771844,0.96307594,0.8812518,1.0001383,0.43172175,0.3107951,correct
166.96869,171.68205,59.704483,54.567184,161.13966,172.56596,155.03786,155.13579,0.9341812,0.82891506,0.80159307,0.6930195,0.12650847,0.21604542,0.9112994,0.97123945,0.91117823,0.9970824,0.43261746,0.31650203,correct
147.54381,146.11885,53.58737,39.935493,162.04872,173.48854,164.24779,170.51064,0.83561105,0.76136565,0.7301846,0.67297906,0.11982148,0.20747562,0.84605074,0.81047887,0.9048481,0.8189552,0.5029572,0.38333562,correct
145.92603,148.00424,52.386147,40.897724,163.5297,172.0602,165.18983,168.07166,0.8376695,0.76076275,0.71935815,0.69202405,0.11124812,0.18932001,0.84746134,0.7991789,0.9114734,0.82349575,0.5016546,0.39041615,correct
146.27318,147.77008,53.92663,40.71696,161.22739,173.35075,163.92188,171.61876,0.8378972,0.7573809,0.71764845,0.6753725,0.1181299,0.21547343,0.8497468,0.8048762,0.8989898,0.8324077,0.5006107,0.38248724,correct
147.3771,144.31781,54.0223,38.595825,162.559,175.04411,164.21503,170.96622,0.83621883,0.7641242,0.73906016,0.6890627,0.12450898,0.21306133,0.85964197,0.80974066,0.9007314,0.83224416,0.5142518,0.39185676,correct
147.4375,147.01254,53.49604,41.040638,162.34819,173.11156,165.82019,170.59451,0.84924024,0.7908914,0.7398261,0.66552764,0.13361666,0.21344267,0.8612256,0.82826376,0.93525475,0.8295715,0.5222558,0.38870457,correct
124.81856,136.75648,48.551014,44.08995,164.76468,177.44043,159.44627,169.21252,0.7863644,0.4955287,0.6000676,0.40498224,0.06912572,0.16910532,0.594059,0.83883435,0.59563696,0.7791787,0.40440658,0.4014826,correct
125.61004,137.44548,48.910065,45.340347,163.97878,179.49292,159.30807,166.84892,0.7703335,0.49909884,0.59329396,0.41725442,0.06908331,0.16934918,0.6121365,0.8456404,0.58589923,0.78672,0.40786988,0.41613594,correct
125.17876,135.197,48.347786,45.328075,165.00996,179.88295,157.92366,166.77174,0.79986775,0.4912861,0.597769,0.38436788,0.093248814,0.15336832,0.5742661,0.8332029,0.5978333,0.77243096,0.3991822,0.3977661,correct
127.89486,138.91833,49.52844,45.425995,165.25197,177.50894,159.66037,169.18008,0.79069734,0.49075422,0.5963484,0.40409067,0.083036095,0.16777846,0.58852136,0.8326992,0.593522,0.7796517,0.41180065,0.40287504,correct
123.745575,138.5514,48.923702,44.41395,164.85939,178.23087,160.05426,169.36188,0.786341,0.5029429,0.6011754,0.4000634,0.06431887,0.17131037,0.59808904,0.8500801,0.6056398,0.77075493,0.4107844,0.39796424,correct
87.53115,106.17748,54.616455,59.903126,169.50482,176.70876,168.8097,174.42207,0.7969767,0.21678554,0.70665956,0.16916202,0.17176774,0.22475277,0.7650433,0.8047224,0.7817811,0.78228724,0.3008001,0.38565874,correct
89.40369,101.1259,56.228996,59.112434,168.47809,176.13794,168.1179,174.19464,0.79675186,0.19451274,0.7096029,0.17371362,0.18500595,0.24091971,0.755266,0.81391084,0.7818245,0.7662523,0.30984125,0.38894582,correct
84.90496,99.80756,53.068035,59.83682,170.42978,178.09453,168.13959,173.33891,0.8054346,0.21648556,0.71858275,0.17094877,0.17140235,0.20048068,0.7497855,0.81132585,0.7741416,0.7777356,0.2956663,0.3839692,correct
84.30209,107.72861,53.401077,60.791725,168.89496,176.31686,167.76253,175.02924,0.7958248,0.21343237,0.7009846,0.15793552,0.1704881,0.22773045,0.75378686,0.7920429,0.7703077,0.78706354,0.3002778,0.4064726,correct
89.08509,100.99144,54.871895,59.04647,169.14008,175.30176,170.07652,176.17561,0.80199254,0.20655446,0.71889883,0.17658344,0.15535995,0.2338674,0.78056973,0.81180763,0.79627854,0.7939253,0.2959454,0.38664895,correct
51.290108,48.77445,7.351031,58.72669,175.88228,179.63043,168.36263,167.2279,0.40288118,0.21567431,0.52634877,0.2617768,0.5612422,0.44138288,1.0664009,0.96227866,1.0673484,1.0691519,0.12978874,0.43586442,correct
52.256424,52.557735,6.085439,60.495625,174.62544,179.80516,167.58403,167.48987,0.39376572,0.24096094,0.51879615,0.26514655,0.5590128,0.4523197,1.0935742,0.96534646,1.1047064,1.0782989,0.13094124,0.432872,correct
47.77006,46.36395,5.2940197,57.363674,177.04407,178.5961,169.19264,166.28523,0.3991939,0.22110371,0.5260787,0.24682356,0.56000173,0.41871178,1.0447899,0.93246025,1.05509,1.0278518,0.12267496,0.43907544,correct
46.570503,46.220707,5.0900435,58.04733,175.71992,178.80974,167.13104,166.18788,0.40267062,0.22085463,0.5320147,0.26357955,0.57229227,0.4443274,1.0670997,0.97994876,1.0646781,1.0871768,0.13712105,0.44149518,correct
